Molecule Name,exp_pEC50,category,CNNaffinity,CNNscore,minimizedAffinity,pred_pEC50_raw,n_hops
OCNT-2312920,5.23,train,,,,,
OADMET-0002822,5.47,train,,,,,
OCNT-2312681,4.35,train,,,,,
OCNT-1965903,3.55,train,,,,,
OCNT-0369247,3.28,train,,,,,
OCNT-2317420,4.77,train,,,,,
OCNT-2313574,5.1,train,,,,,
OADMET-0004840,4.95,train,,,,,
OCNT-0368924,3.32,train,,,,,
OCNT-1965952,4.6,train,,,,,
OCNT-2311763,4.62,train,,,,,
OCNT-2316485,5.57,train,,,,,
OCNT-2313001,4.93,train,,,,,
OCNT-2314443,5.15,train,,,,,
OADMET-0004837,5.37,train,,,,,
OADMET-0006277,2.505,phase1,7.16017866,0.50631386,-8.86140537,,
OCNT-2312892,5.16,train,,,,,
OADMET-0006210,4.8100000000000005,phase1,7.79288149,0.784584284,-6.94630957,,
OADMET-0003154,5.6,train,,,,,
OCNT-2316655,5.59,train,,,,,
OCNT-2309319,5.915,train,7.54906082,0.784665465,-8.07164383,,
OCNT-2328467,1.84,train,,,,,
OADMET-0006515,5.23,phase1,7.97551394,0.790353298,-7.61656284,8.78466130465021,2.0
OADMET-0002899,5.78,train,,,,,
OADMET-0005768,4.86,train,,,,,
OCNT-1309356,4.2,train,,,,,
OCNT-2313290,4.47,train,,,,,
OADMET-0003656,4.53,train,,,,,
OCNT-2313610,5.14,train,,,,,
OCNT-1309113,1.85,train,,,,,
OADMET-0001379,4.88,train,,,,,
OADMET-0001174,3.81,train,,,,,
OADMET-0002325,2.96,train,,,,,
OCNT-2311460,4.93,train,,,,,
OCNT-0374388,3.62,train,,,,,
OCNT-2316981,4.4,train,,,,,
OADMET-0002932,5.17,train,,,,,
OADMET-0005776,4.99,train,,,,,
OCNT-2313124,4.62,train,,,,,
OCNT-2314308,3.8,train,,,,,
OADMET-0004762,4.8,train,,,,,
OADMET-0000968,3.94,train,,,,,
OADMET-0006049,4.85,train,,,,,
OCNT-0011639,2.01,train,,,,,
OADMET-0004952,5.03,train,,,,,
OCNT-1966004,4.41,train,,,,,
OCNT-2316607,4.9,train,,,,,
OADMET-0001451,5.04,train,,,,,
OADMET-0005436,4.58,train,,,,,
OADMET-0006355,,phase2,8.02642536,0.780517459,-9.84226704,3.6316703648387705,2.0
OADMET-0005395,4.2,train,,,,,
OADMET-0002718,6.115,train,,,,,
OADMET-0005489,4.94,train,,,,,
OCNT-2315465,5.16,train,,,,,
OADMET-0003302,4.86,train,,,,,
OADMET-0002838,5.14,train,,,,,
OCNT-0350174,3.42,train,,,,,
OCNT-2311638,5.0,train,7.85977316,0.746843696,-7.86523771,,
OADMET-0005679,4.4,train,,,,,
OADMET-0002930,5.53,train,,,,,
OCNT-1900053,2.83,train,,,,,
OADMET-0002954,5.12,train,,,,,
OADMET-0003788,1.77,train,,,,,
OADMET-0000957,3.56,train,,,,,
OADMET-0001259,2.88,train,,,,,
OCNT-2312517,5.06,train,,,,,
OCNT-2313065,5.04,train,,,,,
OCNT-2312911,5.53,train,,,,,
OCNT-2309356,6.855,train,7.7124362,0.777907312,-10.0835419,,
OCNT-0376565,3.43,train,,,,,
OCNT-2316590,5.61,train,,,,,
OCNT-1307665,3.26,train,,,,,
OCNT-2316316,4.78,train,,,,,
OCNT-2313054,5.18,train,,,,,
OADMET-0003493,5.42,train,,,,,
OADMET-0002768,5.25,train,,,,,
OADMET-0006019,4.73,train,,,,,
OADMET-0004345,4.53,train,,,,,
OCNT-2312352,4.46,train,,,,,
OCNT-2311143,4.35,train,,,,,
OCNT-2314714,5.09,train,,,,,
OCNT-2328391,2.94,train,,,,,
OCNT-2315552,5.2,train,,,,,
OADMET-0001529,5.1,train,,,,,
OCNT-2316995,4.63,train,,,,,
OADMET-0001870,4.12,train,,,,,
OADMET-0002656,5.65,train,,,,,
OADMET-0001605,4.21,train,,,,,
OCNT-1307589,4.08,train,,,,,
OADMET-0003682,3.33,train,,,,,
OCNT-1871053,2.64,train,,,,,
OCNT-2312926,4.56,train,,,,,
OADMET-0003640,5.03,train,,,,,
OCNT-2311839,5.51,train,,,,,
OCNT-1308027,1.66,train,,,,,
OCNT-0359962,3.73,train,,,,,
OCNT-2314416,5.1,train,,,,,
OCNT-2309901,1.71,train,,,,,
OCNT-2314859,5.28,train,,,,,
OCNT-2310483,5.09,train,,,,,
OADMET-0003732,4.98,train,,,,,
OCNT-0464348,5.25,train,,,,,
OCNT-2316099,4.06,train,,,,,
OCNT-2316873,4.42,train,,,,,
OCNT-2313788,5.15,train,,,,,
OCNT-2312370,5.12,train,,,,,
OADMET-0006375,4.970000000000001,phase1,8.33666515,0.846215427,-7.85602522,3.825009712242623,2.0
OADMET-0001196,4.98,train,,,,,
OCNT-0333186,4.23,train,,,,,
OCNT-0369074,4.98,train,,,,,
OCNT-0349912,3.21,train,,,,,
OCNT-2316730,5.07,train,,,,,
OADMET-0003609,4.47,train,,,,,
OADMET-0005008,4.57,train,,,,,
OADMET-0006128,5.335,phase1,7.10446596,0.730178773,-7.36486053,0.6490270126357274,1.0
OCNT-0022215,4.94,train,,,,,
OCNT-2328911,4.17,train,,,,,
OADMET-0001763,1.88,train,,,,,
OADMET-0001128,4.28,train,,,,,
OADMET-0002242,2.01,train,,,,,
OADMET-0002797,5.84,train,,,,,
OADMET-0003577,4.42,train,,,,,
OCNT-0467983,2.36,train,,,,,
OCNT-0375505,3.52,train,,,,,
OCNT-2317468,4.48,train,7.55479193,0.754927814,-8.80753231,,
OCNT-1685173,1.97,train,,,,,
OADMET-0001335,4.74,train,,,,,
OCNT-2312868,4.64,train,,,,,
OCNT-2317629,5.26,train,,,,,
OADMET-0005202,4.47,train,,,,,
OCNT-1965918,3.92,train,,,,,
OADMET-0004685,4.63,train,,,,,
OADMET-0005126,4.15,train,,,,,
OADMET-0005526,5.07,train,,,,,
OADMET-0005594,4.24,train,,,,,
OCNT-1309108,2.26,train,,,,,
OCNT-1900047,1.83,train,,,,,
OADMET-0006395,5.07,phase1,7.94740677,0.703593552,-7.04656744,2.3378425564564345,3.0
OCNT-2314267,5.74,train,,,,,
OCNT-2311322,5.07,train,,,,,
OADMET-0001480,4.83,train,,,,,
OADMET-0002107,2.6,train,,,,,
OADMET-0001991,4.45,train,,,,,
OADMET-0006333,,phase2,8.1444664,0.779881477,-7.89975262,4.662077405757051,3.0
OCNT-1307971,4.45,train,,,,,
OCNT-2312947,5.11,train,,,,,
OADMET-0002539,6.050000000000001,train,,,,,
OCNT-2312527,1.76,train,,,,,
OCNT-0465405,4.39,train,,,,,
OADMET-0001495,5.09,train,,,,,
OADMET-0003099,5.7,train,,,,,
OADMET-0006368,5.79,phase1,7.39530993,0.552421808,-7.47576094,,
OADMET-0005847,5.21,train,,,,,
OADMET-0001468,4.01,train,,,,,
OCNT-0310749,2.93,train,,,,,
OADMET-0002939,5.17,train,,,,,
OCNT-1966002,2.93,train,,,,,
OCNT-0474642,5.33,train,,,,,
OADMET-0005428,5.0,train,,,,,
OCNT-2317545,5.19,train,,,,,
OADMET-0001660,3.33,train,,,,,
OCNT-1965897,1.97,train,,,,,
OADMET-0001764,3.76,train,,,,,
OADMET-0004472,4.86,train,,,,,
OCNT-2312506,5.42,train,,,,,
OCNT-2313892,5.24,train,,,,,
OCNT-2308462,4.84,train,,,,,
OADMET-0006283,5.16,phase1,7.58239603,0.845167994,-8.2191906,5.712582779890444,1.0
OCNT-0353296,2.55,train,,,,,
OCNT-1871148,1.84,train,,,,,
OADMET-0002929,3.1,train,,,,,
OCNT-2328958,4.23,train,,,,,
OADMET-0004798,4.63,train,,,,,
OADMET-0005068,5.43,train,,,,,
OCNT-2312886,5.12,train,,,,,
OADMET-0004993,4.65,train,,,,,
OADMET-0004428,4.61,train,,,,,
OCNT-2328956,4.26,train,,,,,
OCNT-2313569,4.77,train,,,,,
OCNT-0474563,6.43,train,,,,,
OCNT-2318527,5.25,train,,,,,
OADMET-0002801,5.84,train,,,,,
OADMET-0004888,4.59,train,,,,,
OADMET-0001940,2.27,train,,,,,
OADMET-0005136,5.05,train,,,,,
OADMET-0005075,5.18,train,,,,,
OCNT-0021749,2.92,train,,,,,
OCNT-1309361,3.62,train,,,,,
OADMET-0005959,4.53,train,,,,,
OADMET-0001424,4.98,train,,,,,
OADMET-0006043,4.72,train,,,,,
OCNT-1308016,3.66,train,,,,,
OADMET-0001622,4.2,train,,,,,
OADMET-0001069,2.67,train,,,,,
OCNT-2328673,3.25,train,,,,,
OADMET-0004765,4.85,train,,,,,
OCNT-2318495,5.14,train,,,,,
OADMET-0004327,4.89,train,,,,,
OCNT-0271248,2.64,train,,,,,
OCNT-2308957,5.53,train,,,,,
OADMET-0005754,4.6,train,,,,,
OADMET-0002958,5.35,train,,,,,
OCNT-2308675,4.97,train,,,,,
OADMET-0005205,4.34,train,,,,,
OADMET-0003251,5.1,train,,,,,
OADMET-0003162,5.55,train,,,,,
OCNT-1308054,4.17,train,,,,,
OADMET-0005413,4.22,train,,,,,
OCNT-2312465,4.2,train,,,,,
OCNT-2328660,4.67,train,,,,,
OCNT-1685161,3.05,train,,,,,
OADMET-0003293,5.25,train,,,,,
OADMET-0000960,3.63,train,,,,,
OADMET-0004951,4.56,train,,,,,
OADMET-0002088,2.08,train,,,,,
OCNT-2313239,4.99,train,,,,,
OCNT-2316356,4.84,train,7.85172653,0.489778548,-9.08486271,,
OCNT-2308858,5.25,train,,,,,
OADMET-0001944,3.13,train,,,,,
OCNT-1871173,1.96,train,,,,,
OCNT-2311720,5.44,train,,,,,
OCNT-0013251,1.93,train,,,,,
OADMET-0006340,5.2,phase1,7.48609543,0.762941539,-8.61328506,5.351042797385567,1.0
OADMET-0004739,4.77,train,,,,,
OCNT-1307684,4.53,train,,,,,
OADMET-0003361,1.88,train,,,,,
OCNT-2310407,4.99,train,,,,,
OCNT-2309116,4.79,train,,,,,
OCNT-2310784,5.76,train,,,,,
OCNT-1307771,3.27,train,,,,,
OADMET-0002744,5.34,train,,,,,
OADMET-0006294,5.185,phase1,7.15172815,0.864261389,-7.74069452,,
OCNT-0479594,3.76,train,,,,,
OCNT-0465481,5.27,train,,,,,
OADMET-0002654,4.73,train,,,,,
OADMET-0005356,4.72,train,,,,,
OADMET-0005740,4.81,train,,,,,
OCNT-2316393,5.65,train,,,,,
OADMET-0001395,5.48,train,,,,,
OCNT-1308070,4.52,train,,,,,
OADMET-0000973,4.06,train,,,,,
OADMET-0005467,5.22,train,,,,,
OADMET-0005639,4.8,train,,,,,
OCNT-2312085,4.87,train,,,,,
OCNT-2310919,4.73,train,,,,,
OADMET-0002787,5.7,train,,,,,
OCNT-1965948,3.53,train,,,,,
OADMET-0005723,4.17,train,,,,,
OCNT-1308138,4.07,train,,,,,
OADMET-0006474,,phase2,7.49809504,0.649116755,-7.75941467,3.0340573287487267,1.0
OADMET-0005789,4.36,train,,,,,
OCNT-2318020,5.11,train,,,,,
OCNT-0479532,2.44,train,,,,,
OCNT-1871078,2.16,train,,,,,
OCNT-2314034,2.87,train,,,,,
OADMET-0001224,3.76,train,,,,,
OADMET-0001090,4.32,train,,,,,
OADMET-0005961,4.61,train,,,,,
OCNT-1871106,2.96,train,,,,,
OADMET-0003708,4.68,train,,,,,
OADMET-0001461,5.18,train,,,,,
OADMET-0001307,3.03,train,,,,,
OCNT-2309231,4.51,train,,,,,
OCNT-1965902,4.39,train,,,,,
OADMET-0003203,5.78,train,,,,,
OADMET-0002299,3.05,train,,,,,
OCNT-2317589,4.82,train,,,,,
OADMET-0003031,4.99,train,,,,,
OADMET-0005714,4.96,train,,,,,
OCNT-2314577,5.07,train,,,,,
OCNT-2308926,4.69,train,,,,,
OCNT-2312995,5.55,train,,,,,
OADMET-0006176,4.185,phase1,7.57023096,0.779245675,-7.58476019,,
OADMET-0002064,2.12,train,,,,,
OCNT-2316139,5.58,train,,,,,
OCNT-2315794,4.68,train,,,,,
OADMET-0003060,5.45,train,,,,,
OCNT-2310019,4.95,train,,,,,
OADMET-0005371,4.69,train,,,,,
OADMET-0001473,2.52,train,,,,,
OADMET-0005989,4.7,train,,,,,
OADMET-0005289,5.12,train,,,,,
OADMET-0004938,5.01,train,,,,,
OCNT-1685197,2.91,train,,,,,
OADMET-0003695,4.48,train,,,,,
OADMET-0005427,4.7,train,,,,,
OADMET-0001953,4.07,train,,,,,
OCNT-2308470,5.835,train,,,,,
OADMET-0003515,5.14,train,,,,,
OCNT-2315103,4.74,train,,,,,
OADMET-0003415,5.89,train,,,,,
OCNT-2317188,5.04,train,,,,,
OCNT-1307920,2.37,train,,,,,
OCNT-0474480,4.41,train,,,,,
OADMET-0002140,2.52,train,,,,,
OCNT-2309520,4.22,train,,,,,
OADMET-0002239,2.07,train,,,,,
OADMET-0005368,3.98,train,,,,,
OCNT-2309687,4.73,train,,,,,
OADMET-0004628,4.15,train,,,,,
OADMET-0006074,5.14,train,,,,,
OADMET-0005286,3.26,train,,,,,
OCNT-2314904,1.87,train,,,,,
OADMET-0001619,5.05,train,,,,,
OCNT-2317286,4.39,train,,,,,
OADMET-0001083,3.46,train,,,,,
OCNT-2311051,5.43,train,,,,,
OADMET-0006562,,phase2,7.4128418,0.612242699,-5.6858983,,
OADMET-0001778,2.28,train,,,,,
OADMET-0003133,6.22,train,,,,,
OADMET-0001897,3.48,train,,,,,
OADMET-0001109,2.47,train,,,,,
OCNT-0360904,3.48,train,,,,,
OCNT-1965982,4.82,train,,,,,
OADMET-0001655,4.11,train,,,,,
OADMET-0003244,5.99,train,,,,,
OADMET-0005952,5.03,train,,,,,
OADMET-0006502,,phase2,8.41777515,0.833785534,-8.95260239,4.560735758740028,4.0
OCNT-2317648,5.49,train,,,,,
OADMET-0001158,3.2,train,,,,,
OADMET-0006613,,phase2,7.73887253,0.948337495,-8.05308628,3.076860122114592,3.0
OADMET-0002151,2.77,train,,,,,
OADMET-0006209,3.41,phase1,6.92352676,0.714013636,-7.63861322,-2.128249707728207,2.0
OADMET-0005841,4.87,train,,,,,
OCNT-0358700,4.69,train,,,,,
OADMET-0006566,1.945,phase1,7.59856558,0.845248759,-8.2703886,4.905291723954715,2.0
OADMET-0001189,3.05,train,,,,,
OADMET-0004605,4.95,train,,,,,
OADMET-0003398,5.33,train,,,,,
OADMET-0000950,3.79,train,,,,,
OCNT-2311892,4.49,train,,,,,
OADMET-0005956,4.45,train,,,,,
OADMET-0003371,5.05,train,,,,,
OADMET-0003289,5.2,train,,,,,
OADMET-0005170,5.14,train,,,,,
OCNT-2318408,4.68,train,,,,,
OADMET-0005473,4.33,train,,,,,
OADMET-0002867,5.12,train,,,,,
OCNT-0346238,3.73,train,,,,,
OCNT-2310729,4.93,train,,,,,
OCNT-2314845,5.22,train,,,,,
OADMET-0003316,5.945,train,,,,,
OADMET-0006305,3.565,phase1,7.74038935,0.887993991,-9.18924236,7.089526648283062,1.0
OADMET-0003481,5.38,train,,,,,
OADMET-0006580,5.265,phase1,8.06786251,0.844633818,-7.24528742,,
OADMET-0006422,,phase2,7.02955866,0.759262443,-6.10940647,3.3898099082176034,1.0
OADMET-0002067,2.6,train,,,,,
OADMET-0005724,4.84,train,,,,,
OCNT-2312912,4.97,train,,,,,
OADMET-0003516,5.29,train,,,,,
OCNT-0377938,3.53,train,,,,,
OCNT-1307679,4.38,train,,,,,
OADMET-0004896,4.77,train,,,,,
OADMET-0002224,3.24,train,,,,,
OCNT-0470091,2.51,train,,,,,
OADMET-0002862,2.57,train,,,,,
OADMET-0001107,2.23,train,,,,,
OADMET-0002652,1.71,train,,,,,
OADMET-0001192,3.06,train,,,,,
OADMET-0002561,5.32,train,,,,,
OADMET-0001098,3.49,train,,,,,
OADMET-0001124,4.12,train,,,,,
OCNT-2317738,4.51,train,,,,,
OCNT-2308848,4.34,train,,,,,
OCNT-0464697,3.93,train,,,,,
OADMET-0003575,4.18,train,,,,,
OCNT-2310261,5.05,train,,,,,
OCNT-2315106,4.04,train,,,,,
OADMET-0002721,4.97,train,,,,,
OCNT-2310013,5.42,train,,,,,
OADMET-0004706,4.44,train,,,,,
OADMET-0002974,4.755,train,,,,,
OADMET-0002271,3.02,train,,,,,
OCNT-2309225,5.0,train,,,,,
OCNT-2308786,4.31,train,,,,,
OCNT-2311547,4.01,train,,,,,
OADMET-0003506,5.14,train,,,,,
OCNT-2312476,5.05,train,,,,,
OCNT-1871012,3.23,train,,,,,
OCNT-2328346,2.27,train,,,,,
OCNT-2317528,6.01,train,7.99152613,0.678232789,-9.43984032,,
OADMET-0002841,5.45,train,,,,,
OCNT-2314358,5.18,train,,,,,
OADMET-0001585,2.25,train,,,,,
OCNT-1308036,5.25,train,,,,,
OCNT-2328395,4.41,train,,,,,
OADMET-0002984,5.09,train,,,,,
OCNT-0336270,2.6,train,,,,,
OCNT-0280606,2.61,train,,,,,
OADMET-0002582,1.75,train,,,,,
OCNT-2315474,4.8,train,,,,,
OADMET-0005755,4.69,train,,,,,
OADMET-0003670,4.41,train,,,,,
OADMET-0005449,5.32,train,,,,,
OADMET-0005298,4.26,train,,,,,
OADMET-0006213,3.475,phase1,7.36301661,0.5792768,-8.49420261,-3.557809711915329,2.0
OCNT-0317678,3.21,train,,,,,
OCNT-2308774,4.94,train,,,,,
OCNT-0288354,3.99,train,,,,,
OCNT-2318415,4.58,train,,,,,
OCNT-2317962,4.82,train,,,,,
OADMET-0001199,2.53,train,,,,,
OADMET-0001294,2.34,train,,,,,
OADMET-0003548,4.18,train,,,,,
OCNT-2312129,5.04,train,,,,,
OCNT-2311596,5.39,train,,,,,
OCNT-2328606,2.89,train,,,,,
OADMET-0003727,2.54,train,,,,,
OADMET-0003673,1.83,train,,,,,
OCNT-2316524,5.64,train,,,,,
OCNT-0358033,3.48,train,,,,,
OADMET-0005632,5.1,train,,,,,
OCNT-2308873,4.78,train,7.51112366,0.792211652,-9.21226788,,
OADMET-0006335,3.665,phase1,7.60532331,0.746723473,-9.53098965,,
OCNT-2315662,4.67,train,,,,,
OADMET-0003590,4.26,train,,,,,
OCNT-2316367,6.16,train,,,,,
OCNT-0465214,5.01,train,,,,,
OCNT-2328773,3.98,train,,,,,
OADMET-0003326,5.39,train,,,,,
OADMET-0004915,5.19,train,,,,,
OCNT-2316068,4.82,train,,,,,
OCNT-2308556,3.45,train,,,,,
OCNT-0370005,3.95,train,,,,,
OADMET-0001715,3.41,train,,,,,
OADMET-0006233,4.515000000000001,phase1,7.27565813,0.734319627,-7.24019909,,
OADMET-0004932,5.49,train,,,,,
OCNT-0469941,3.69,train,,,,,
OCNT-0333599,2.16,train,,,,,
OADMET-0006322,,phase2,7.13666487,0.593233883,-7.49657774,,
OADMET-0006490,3.245,phase1,7.2328701,0.641605914,-3.57570338,,
OADMET-0001369,4.26,train,,,,,
OADMET-0005031,4.53,train,,,,,
OCNT-0494698,4.75,train,,,,,
OADMET-0002876,5.34,train,,,,,
OADMET-0004396,4.57,train,,,,,
OADMET-0003544,4.7,train,,,,,
