cluster_id,transform_name,edge,leg,status,fail_type,fail_msg,ddg_estimate,ddg_uncertainty,result_location,wall_clock_s,gpu_name,gpu_capability,gpu_memory_mb,server,slot,num_job_starts,exit_code,wall_clock_h
146,rbfe_OADMET-0006465_complex_OCNT-2311117_complex,rbfe_OADMET-0006465_OCNT-2311117,complex,COMPLETED,,,-31.015816312940164,0.0,inner,12598,NVIDIA GeForce RTX 2080 Ti,7.5,11004,ahlquist0000.chtc.wisc.edu,backfill1_6@ahlquist0000.chtc.wisc.edu,1,0,3.4994444444444444
146,rbfe_OADMET-0006465_solvent_OCNT-2311117_solvent,rbfe_OADMET-0006465_OCNT-2311117,solvent,COMPLETED,,,-15.957188478581891,0.0,inner,4290,NVIDIA GeForce RTX 2080 Ti,7.5,11004,ahlquist0000.chtc.wisc.edu,backfill1_7@ahlquist0000.chtc.wisc.edu,1,0,1.1916666666666667
147,rbfe_OADMET-0006464_complex_OCNT-2317682_complex,rbfe_OADMET-0006464_OCNT-2317682,complex,COMPLETED,,,92.8505443711874,0.0,inner,14498,NVIDIA GeForce RTX 2080 Ti,7.5,11004,ahlquist0000.chtc.wisc.edu,backfill1_8@ahlquist0000.chtc.wisc.edu,1,0,4.027222222222222
147,rbfe_OADMET-0006464_solvent_OCNT-2317682_solvent,rbfe_OADMET-0006464_OCNT-2317682,solvent,COMPLETED,,,91.4109478442165,0.0,inner,2921,NVIDIA L40S,8.9,45460,gpu4006.chtc.wisc.edu,slot2_8@gpu4006.chtc.wisc.edu,1,0,0.8113888888888889
156,rbfe_OADMET-0006455_complex_OCNT-2312239_complex,rbfe_OADMET-0006455_OCNT-2312239,complex,FAILED,SimulationNaNError,"Propagating replica 0 at state 0 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,5,NVIDIA A100-SXM4-80GB,8.0,81154,gpu2008.chtc.wisc.edu,slot2_4@gpu2008.chtc.wisc.edu,11,2,0.001388888888888889
156,rbfe_OADMET-0006455_solvent_OCNT-2312239_solvent,rbfe_OADMET-0006455_OCNT-2312239,solvent,COMPLETED,,,92.2439470971319,0.0,inner,2955,NVIDIA L40S,8.9,45460,zliu-chtcgpu5000.chtc.wisc.edu,backfill1_5@zliu-chtcgpu5000.chtc.wisc.edu,2,0,0.8208333333333333
167,rbfe_OADMET-0006443_complex_OCNT-2310646_complex,rbfe_OADMET-0006443_OCNT-2310646,complex,FAILED,IndexError,list index out of range,,,,2,NVIDIA H100 80GB HBM3,9.0,81110,Colgate-CCARE-EP.3dd51df4d4e0,slot1_2@Colgate-CCARE-EP.3dd51df4d4e0,11,2,0.0005555555555555556
167,rbfe_OADMET-0006443_solvent_OCNT-2310646_solvent,rbfe_OADMET-0006443_OCNT-2310646,solvent,FAILED,IndexError,list index out of range,,,,14,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,slot2_2@gpulab2001.chtc.wisc.edu,11,1,0.0038888888888888888
169,rbfe_OADMET-0006469_complex_OCNT-2315366_complex,rbfe_OADMET-0006469_OCNT-2315366,complex,FAILED,SimulationNaNError,"Propagating replica 0 at state 0 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,4,NVIDIA A100-SXM4-80GB,8.0,81154,gpu2004.chtc.wisc.edu,slot2_2@gpu2004.chtc.wisc.edu,11,2,0.0011111111111111111
169,rbfe_OADMET-0006469_solvent_OCNT-2315366_solvent,rbfe_OADMET-0006469_OCNT-2315366,solvent,COMPLETED,,,46.302670039595995,0.0,inner,3167,NVIDIA A100-SXM4-40GB,8.0,40442,coba2000.chtc.wisc.edu,backfill1_1@coba2000.chtc.wisc.edu,1,0,0.8797222222222222
169,rbfe_OADMET-0006580_complex_OCNT-2315366_complex,rbfe_OADMET-0006580_OCNT-2315366,complex,FAILED,SimulationNaNError,"Propagating replica 0 at state 0 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,3644,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,slot2_4@gpulab2001.chtc.wisc.edu,11,1,1.0122222222222221
169,rbfe_OADMET-0006580_solvent_OCNT-2315366_solvent,rbfe_OADMET-0006580_OCNT-2315366,solvent,COMPLETED,,,6.094060719552549,0.0,inner,3953,NVIDIA A100-SXM4-40GB,8.0,40442,coba2000.chtc.wisc.edu,backfill1_3@coba2000.chtc.wisc.edu,1,0,1.0980555555555556
169,rbfe_OCNT-2315366_complex_OADMET-0006441_complex,rbfe_OCNT-2315366_OADMET-0006441,complex,FAILED,SimulationNaNError,"Propagating replica 0 at state 0 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,3,NVIDIA A100-SXM4-40GB,8.0,40442,coba2000.chtc.wisc.edu,backfill1_4@coba2000.chtc.wisc.edu,11,2,0.0008333333333333334
169,rbfe_OCNT-2315366_solvent_OADMET-0006441_solvent,rbfe_OCNT-2315366_OADMET-0006441,solvent,COMPLETED,,,-86.23078295446615,0.0,top,2892,Tesla V100-PCIE-16GB,7.0,16144,glidein_575917_116664786@mendel-g0001.mendel.sdmz.amnh.org,slot1_1@glidein_575917_116664786@mendel-g0001.mendel.sdmz.amnh.org,11,2,0.8033333333333333
171,rbfe_OCNT-2312559_complex_OADMET-0006439_complex,rbfe_OCNT-2312559_OADMET-0006439,complex,COMPLETED,,,-51.56663103656633,0.0,top,11372,NVIDIA A100-SXM4-40GB,8.0,40441,glidein_3254553_422831079@gpu014.rci.montana.edu,slot1_6@glidein_3254553_422831079@gpu014.rci.montana.edu,11,2,3.158888888888889
171,rbfe_OCNT-2312559_solvent_OADMET-0006439_solvent,rbfe_OCNT-2312559_OADMET-0006439,solvent,COMPLETED,,,-42.43655161984634,0.0,inner,2315,NVIDIA L40S,8.9,45468,blengerichgpu4000.chtc.wisc.edu,backfill1_4@blengerichgpu4000.chtc.wisc.edu,1,0,0.6430555555555556
178,rbfe_OCNT-2317556_complex_OADMET-0006432_complex,rbfe_OCNT-2317556_OADMET-0006432,complex,FAILED,SimulationNaNError,"Propagating replica 1 at state 1 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,2334,NVIDIA L40,8.9,45468,gpu4001.chtc.wisc.edu,slot2_6@gpu4001.chtc.wisc.edu,11,1,0.6483333333333333
178,rbfe_OCNT-2317556_solvent_OADMET-0006432_solvent,rbfe_OCNT-2317556_OADMET-0006432,solvent,COMPLETED,,,45.66263560328188,0.0,inner,2337,NVIDIA L40S,8.9,45460,zliu-chtcgpu5000.chtc.wisc.edu,backfill1_5@zliu-chtcgpu5000.chtc.wisc.edu,1,0,0.6491666666666667
188,rbfe_OADMET-0006417_complex_OADMET-0006293_complex,rbfe_OADMET-0006417_OADMET-0006293,complex,COMPLETED,,,-23.69431572789757,0.0,inner,8615,NVIDIA L40S,8.9,45468,blengerichgpu4000.chtc.wisc.edu,backfill1_5@blengerichgpu4000.chtc.wisc.edu,1,0,2.3930555555555557
188,rbfe_OADMET-0006417_solvent_OADMET-0006293_solvent,rbfe_OADMET-0006417_OADMET-0006293,solvent,COMPLETED,,,-26.951771356273824,0.0,inner,3424,Quadro RTX 6000,7.5,22684,glidein_1740700_33992350@qa-rtx6k-030.crc.nd.edu,slot1_1@glidein_1740700_33992350@qa-rtx6k-030.crc.nd.edu,1,0,0.9511111111111111
188,rbfe_OADMET-0006421_complex_OADMET-0006417_complex,rbfe_OADMET-0006421_OADMET-0006417,complex,COMPLETED,,,-0.49581936377837577,0.0,top,15804,NVIDIA L40,8.9,45468,gpu4002.chtc.wisc.edu,slot1_2@gpu4002.chtc.wisc.edu,11,2,4.39
188,rbfe_OADMET-0006421_solvent_OADMET-0006417_solvent,rbfe_OADMET-0006421_OADMET-0006417,solvent,COMPLETED,,,-1.4386364202114648,0.0,inner,3220,NVIDIA L40,8.9,45468,jcaicedogpu0000.chtc.wisc.edu,backfill1_5@jcaicedogpu0000.chtc.wisc.edu,1,0,0.8944444444444445
188,rbfe_OADMET-0006434_complex_OADMET-0006417_complex,rbfe_OADMET-0006434_OADMET-0006417,complex,COMPLETED,,,13.305044228650136,0.0,inner,8340,NVIDIA L40S,8.9,45468,amuraligpu4000.chtc.wisc.edu,backfill1_6@amuraligpu4000.chtc.wisc.edu,1,0,2.316666666666667
188,rbfe_OADMET-0006434_solvent_OADMET-0006417_solvent,rbfe_OADMET-0006434_OADMET-0006417,solvent,COMPLETED,,,11.835999434915713,0.0,inner,2219,NVIDIA L40S,8.9,45468,blengerichgpu4000.chtc.wisc.edu,backfill1_6@blengerichgpu4000.chtc.wisc.edu,1,0,0.6163888888888889
188,rbfe_OADMET-0006486_complex_OADMET-0006422_complex,rbfe_OADMET-0006486_OADMET-0006422,complex,COMPLETED,,,17.41197544284027,0.0,inner,11847,NVIDIA GeForce RTX 2080 Ti,7.5,11004,vetsigian0001.chtc.wisc.edu,slot2_6@vetsigian0001.chtc.wisc.edu,1,0,3.2908333333333335
188,rbfe_OADMET-0006486_solvent_OADMET-0006422_solvent,rbfe_OADMET-0006486_OADMET-0006422,solvent,COMPLETED,,,13.702414060616254,0.0,top,3810,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,backfill1_1@gpulab2001.chtc.wisc.edu,1,0,1.0583333333333333
188,rbfe_OADMET-0006487_complex_OADMET-0006293_complex,rbfe_OADMET-0006487_OADMET-0006293,complex,COMPLETED,,,-32.608718751589514,0.0,inner,20710,NVIDIA A100-SXM4-80GB MIG 3g.40gb,8.0,40100,gpu2011.chtc.wisc.edu,slot2_6@gpu2011.chtc.wisc.edu,1,0,5.752777777777778
188,rbfe_OADMET-0006487_complex_OADMET-0006422_complex,rbfe_OADMET-0006487_OADMET-0006422,complex,COMPLETED,,,-16.276609646317556,0.0,inner,11654,Quadro RTX 6000,7.5,22684,glidein_3071058_93813880@qa-rtx6k-035.crc.nd.edu,slot1_1@glidein_3071058_93813880@qa-rtx6k-035.crc.nd.edu,1,0,3.237222222222222
188,rbfe_OADMET-0006487_solvent_OADMET-0006293_solvent,rbfe_OADMET-0006487_OADMET-0006293,solvent,COMPLETED,,,-36.033609354890764,0.0,inner,3322,NVIDIA A100-SXM4-80GB MIG 3g.40gb,8.0,40100,gpu2011.chtc.wisc.edu,slot2_2@gpu2011.chtc.wisc.edu,1,0,0.9227777777777778
188,rbfe_OADMET-0006487_solvent_OADMET-0006422_solvent,rbfe_OADMET-0006487_OADMET-0006422,solvent,COMPLETED,,,-18.345061079268877,0.0,inner,3171,NVIDIA GeForce RTX 2080 Ti,7.5,10823,gpulab2001.chtc.wisc.edu,slot2_4@gpulab2001.chtc.wisc.edu,1,0,0.8808333333333334
188,rbfe_OADMET-0006549_complex_OADMET-0006417_complex,rbfe_OADMET-0006549_OADMET-0006417,complex,COMPLETED,,,48.55860281648686,0.0,inner,10562,NVIDIA H100 80GB HBM3,9.0,81110,Colgate-CCARE-EP.3dd51df4d4e0,slot1_3@Colgate-CCARE-EP.3dd51df4d4e0,1,0,2.9338888888888888
188,rbfe_OADMET-0006549_solvent_OADMET-0006417_solvent,rbfe_OADMET-0006549_OADMET-0006417,solvent,COMPLETED,,,49.852660903359414,0.0,inner,3831,NVIDIA A100-SXM4-80GB,8.0,81154,gpu2005.chtc.wisc.edu,slot2_3@gpu2005.chtc.wisc.edu,1,0,1.0641666666666667
188,rbfe_OADMET-0006592_complex_OADMET-0006417_complex,rbfe_OADMET-0006592_OADMET-0006417,complex,COMPLETED,,,12.867384469799754,0.0,inner,14366,NVIDIA L40,8.9,45468,dsigpu4001.chtc.wisc.edu,backfill1_1@dsigpu4001.chtc.wisc.edu,2,0,3.9905555555555554
188,rbfe_OADMET-0006592_solvent_OADMET-0006417_solvent,rbfe_OADMET-0006592_OADMET-0006417,solvent,COMPLETED,,,15.162859684682354,0.0,inner,3190,NVIDIA L40,8.9,45468,dsigpu4001.chtc.wisc.edu,slot2_10@dsigpu4001.chtc.wisc.edu,1,0,0.8861111111111111
188,rbfe_OCNT-2311393_complex_OADMET-0006422_complex,rbfe_OCNT-2311393_OADMET-0006422,complex,COMPLETED,,,11.199111398427656,0.0,top,8667,NVIDIA GeForce RTX 2080 Ti,7.5,11004,vetsigian0001.chtc.wisc.edu,slot2_1@vetsigian0001.chtc.wisc.edu,11,2,2.4075
188,rbfe_OCNT-2311393_solvent_OADMET-0006422_solvent,rbfe_OCNT-2311393_OADMET-0006422,solvent,COMPLETED,,,7.741619151254822,0.0,inner,3726,Tesla V100-PCIE-32GB,7.0,32494,glidein_1465428_436479782@qa-v100-010.crc.nd.edu,slot1_1@glidein_1465428_436479782@qa-v100-010.crc.nd.edu,1,0,1.035
191,rbfe_OADMET-0006521_complex_OADMET-0006419_complex,rbfe_OADMET-0006521_OADMET-0006419,complex,FAILED,SimulationNaNError,"Propagating replica 0 at state 0 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,4,NVIDIA H100 80GB HBM3,9.0,81081,glidein_2924630_444049500@rails04,slot1_2@glidein_2924630_444049500@rails04,11,2,0.0011111111111111111
191,rbfe_OADMET-0006521_complex_OCNT-1965882_complex,rbfe_OADMET-0006521_OCNT-1965882,complex,FAILED,SimulationNaNError,"Propagating replica 0 at state 0 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,4,NVIDIA L40,8.9,45468,dsigpu4000.chtc.wisc.edu,slot2_2@dsigpu4000.chtc.wisc.edu,11,2,0.0011111111111111111
191,rbfe_OADMET-0006521_solvent_OADMET-0006419_solvent,rbfe_OADMET-0006521_OADMET-0006419,solvent,COMPLETED,,,24.022002773027967,0.0,inner,2181,NVIDIA L40S,8.9,45460,gpu4006.chtc.wisc.edu,slot2_5@gpu4006.chtc.wisc.edu,1,0,0.6058333333333333
191,rbfe_OADMET-0006521_solvent_OCNT-1965882_solvent,rbfe_OADMET-0006521_OCNT-1965882,solvent,COMPLETED,,,18.88070815415036,0.0,inner,2829,NVIDIA RTX A5000,8.6,24361,glidein_795025_64906636@gpu07,slot1_3@glidein_795025_64906636@gpu07,1,0,0.7858333333333334
195,rbfe_OADMET-0006415_complex_OCNT-2309628_complex,rbfe_OADMET-0006415_OCNT-2309628,complex,COMPLETED,,,49.528124711472216,0.0,inner,8556,NVIDIA L40S,8.9,45468,jcaicedogpu0002.chtc.wisc.edu,backfill1_6@jcaicedogpu0002.chtc.wisc.edu,1,0,2.3766666666666665
195,rbfe_OADMET-0006415_solvent_OCNT-2309628_solvent,rbfe_OADMET-0006415_OCNT-2309628,solvent,COMPLETED,,,51.7112707947311,0.0,inner,2257,NVIDIA L40,8.9,45468,gpu4000.chtc.wisc.edu,slot2_6@gpu4000.chtc.wisc.edu,1,0,0.6269444444444444
196,rbfe_OADMET-0006414_complex_OCNT-2308748_complex,rbfe_OADMET-0006414_OCNT-2308748,complex,COMPLETED,,,5.357191298567803,0.0,top,13885,NVIDIA A40,8.6,45739,glidein_3062367_187566720@gpu03,slot1_3@glidein_3062367_187566720@gpu03,11,2,3.8569444444444443
196,rbfe_OADMET-0006414_solvent_OCNT-2308748_solvent,rbfe_OADMET-0006414_OCNT-2308748,solvent,COMPLETED,,,2.628759351373944,0.0,inner,4326,NVIDIA A100-SXM4-40GB,8.0,40441,glidein_3595514_207792858@gpu014.rci.montana.edu,slot1_1@glidein_3595514_207792858@gpu014.rci.montana.edu,1,0,1.2016666666666667
197,rbfe_OADMET-0006413_complex_OCNT-2317298_complex,rbfe_OADMET-0006413_OCNT-2317298,complex,COMPLETED,,,133.91266145532165,0.0,inner,10202,NVIDIA L40,8.9,45468,gpu4000.chtc.wisc.edu,slot2_9@gpu4000.chtc.wisc.edu,1,0,2.8338888888888887
197,rbfe_OADMET-0006413_solvent_OCNT-2317298_solvent,rbfe_OADMET-0006413_OCNT-2317298,solvent,COMPLETED,,,134.15971335585598,0.0,inner,4149,NVIDIA RTX A5000,8.6,24361,glidein_3572203_1157457015@gpu09,slot1_2@glidein_3572203_1157457015@gpu09,1,0,1.1525
21,rbfe_OCNT-2309356_complex_OADMET-0006596_complex,rbfe_OCNT-2309356_OADMET-0006596,complex,COMPLETED,,,8.68854343404611,0.0,inner,10783,NVIDIA H100 80GB HBM3,9.0,81081,glidein_23344_39494468@gpu021.rci.montana.edu,slot1_1@glidein_23344_39494468@gpu021.rci.montana.edu,1,0,2.995277777777778
21,rbfe_OCNT-2309356_solvent_OADMET-0006596_solvent,rbfe_OCNT-2309356_OADMET-0006596,solvent,COMPLETED,,,4.107706553506388,0.0,top,3290,NVIDIA H200,9.0,143156,glidein_1847774_456197616@compute-gpu-03,slot1_1@glidein_1847774_456197616@compute-gpu-03,1,0,0.9138888888888889
228,rbfe_OADMET-0006379_complex_OCNT-2308873_complex,rbfe_OADMET-0006379_OCNT-2308873,complex,FAILED,SimulationNaNError,"Propagating replica 0 at state 0 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,2817,NVIDIA RTX A5000,8.6,24361,glidein_2964284_106200660@gpu10,slot1_1@glidein_2964284_106200660@gpu10,13,1,0.7825
228,rbfe_OADMET-0006379_solvent_OCNT-2308873_solvent,rbfe_OADMET-0006379_OCNT-2308873,solvent,COMPLETED,,,20.278652804811927,0.0,top,3428,NVIDIA A40,8.6,45739,glidein_1986698_171308536@gpu03,slot1_2@glidein_1986698_171308536@gpu03,12,2,0.9522222222222222
229,rbfe_OADMET-0006378_complex_OCNT-2317222_complex,rbfe_OADMET-0006378_OCNT-2317222,complex,FAILED,SimulationNaNError,"Propagating replica 0 at state 0 resulted in a NaN!
The state of the system and integrator before the error were saved i",,,,1739,NVIDIA H200,9.0,143158,dbrundage-chtcgpu5000.chtc.wisc.edu,backfill1_2@dbrundage-chtcgpu5000.chtc.wisc.edu,12,1,0.48305555555555557
229,rbfe_OADMET-0006378_solvent_OCNT-2317222_solvent,rbfe_OADMET-0006378_OCNT-2317222,solvent,COMPLETED,,,19.133238572317406,0.0,inner,3919,NVIDIA A100-SXM4-80GB,8.0,81154,gpu2004.chtc.wisc.edu,slot2_2@gpu2004.chtc.wisc.edu,1,0,1.0886111111111112
232,rbfe_OADMET-0006374_complex_OADMET-0006395_complex,rbfe_OADMET-0006374_OADMET-0006395,complex,COMPLETED,,,-247.45834159832276,0.0,inner,11022,NVIDIA H100 80GB HBM3,9.0,81081,glidein_44344_686287875@gpu019.rci.montana.edu,slot1_1@glidein_44344_686287875@gpu019.rci.montana.edu,1,0,3.0616666666666665
232,rbfe_OADMET-0006374_solvent_OADMET-0006395_solvent,rbfe_OADMET-0006374_OADMET-0006395,solvent,COMPLETED,,,-248.90764086812132,0.0,top,3097,NVIDIA A40,8.6,45739,glidein_3062367_187566720@gpu03,slot1_3@glidein_3062367_187566720@gpu03,11,2,0.8602777777777778
232,rbfe_OADMET-0006442_complex_OADMET-0006374_complex,rbfe_OADMET-0006442_OADMET-0006374,complex,COMPLETED,,,26.481399107145975,0.0,inner,10548,NVIDIA H100 80GB HBM3,9.0,81081,glidein_23191_72509607@gpu019.rci.montana.edu,slot1_1@glidein_23191_72509607@gpu019.rci.montana.edu,1,0,2.93
232,rbfe_OADMET-0006442_complex_OCNT-2309628_complex,rbfe_OADMET-0006442_OCNT-2309628,complex,COMPLETED,,,10.49771302873466,0.0,inner,13770,NVIDIA A100 80GB PCIe,8.0,81153,glidein_1433337_46310446@rails09,slot1_1@glidein_1433337_46310446@rails09,1,0,3.825
232,rbfe_OADMET-0006442_solvent_OADMET-0006374_solvent,rbfe_OADMET-0006442_OADMET-0006374,solvent,COMPLETED,,,27.35215051287401,0.0,inner,5955,NVIDIA A40,8.6,45739,glidein_1545382_715862460@gpu01,slot1_2@glidein_1545382_715862460@gpu01,1,0,1.6541666666666666
232,rbfe_OADMET-0006442_solvent_OCNT-2309628_solvent,rbfe_OADMET-0006442_OCNT-2309628,solvent,COMPLETED,,,14.974986486168852,0.0,inner,2806,NVIDIA H100 80GB HBM3,9.0,81081,glidein_44325_252695070@gpu019.rci.montana.edu,slot1_1@glidein_44325_252695070@gpu019.rci.montana.edu,1,0,0.7794444444444445
