cluster_id,ligand_name,best_pdb_id,best_pose_rank,best_CNNscore,best_CNNaffinity,best_minimizedAffinity,mean_CNNscore_across_receptors,std_CNNscore_across_receptors,top3_receptors,top3_CNNscores,n_receptors_success,n_receptors_total
A1870,OCNT-2318346,5x0r,1,0.91666466,7.86893845,-7.27067709,0.6464977937258064,0.18632685688575862,"5x0r,1skx,6xp9","0.917,0.916,0.907",62,62
A1874,OCNT-2318311,6hj2,1,0.925518036,7.29414606,-9.872756,0.6758069684354838,0.12287153104468207,"6hj2,1skx,8svp","0.926,0.855,0.851",62,62
A1886,OCNT-2318184,4ny9,1,0.916074693,7.11794806,-11.4329901,0.682898085935484,0.11802154477565825,"4ny9,8svr,8svs","0.916,0.899,0.881",62,62
A1892,OCNT-2318155,8svp,1,0.948378325,6.34905767,-7.37284374,0.7042724047741934,0.1434421221644197,"8svp,6bns,7axa","0.948,0.925,0.925",62,62
A1898,OCNT-2318074,5x0r,1,0.95275414,6.72256804,-8.90942287,0.756558526919355,0.11441155811201278,"5x0r,9fzj,8svt","0.953,0.922,0.917",62,62
A1900,OCNT-2318059,8r81,1,0.915893376,6.55106401,-9.36004639,0.7123014186129033,0.14205098239067374,"8r81,6hj2,4xhd","0.916,0.904,0.892",62,62
A1905,OCNT-2318048,8r82,1,0.911282778,7.7816577,-7.38411045,0.7270146171612905,0.11561681249289181,"8r82,1skx,7axf","0.911,0.903,0.896",62,62
A1921,OCNT-2317888,8svp,1,0.882774293,6.51201296,-9.6031208,0.7411946509193548,0.08853030994145271,"8svp,4x1f,8svx","0.883,0.876,0.876",62,62
A1930,OCNT-2317682,8svq,1,0.952383578,6.52367401,-8.85743237,0.7649378397096774,0.10725582326022452,"8svq,7axb,7axf","0.952,0.941,0.903",62,62
A1934,OCNT-2317632,6bns,1,0.956973433,5.94937658,-8.70723248,0.776009859580645,0.12080194303339578,"6bns,1nrl,3hvl","0.957,0.954,0.924",62,62
A1935,OCNT-2317556,8r81,1,0.946767807,6.78705072,-10.3540144,0.644759122435484,0.13594669284068805,"8r81,4x1f,8svs","0.947,0.807,0.799",62,62
A1936,OCNT-2317538,6tfi,1,0.956303895,7.22018194,-9.46734619,0.8209654919838709,0.08426950842412702,"6tfi,8svp,8r81","0.956,0.940,0.929",62,62
A1938,OCNT-2317528,6bns,1,0.935717523,7.08931017,-9.3678627,0.7208712730806452,0.10221526312249342,"6bns,8svt,8svq","0.936,0.887,0.872",62,62
A1957,OCNT-2317314,8r81,1,0.939856946,7.9328804,-9.75604916,0.7574089457419356,0.1080261711114398,"8r81,1nrl,8svo","0.940,0.922,0.921",62,62
A1958,OCNT-2317298,1skx,1,0.969942927,7.40994406,-9.36287594,0.8700777186129034,0.09817276741208418,"1skx,8svt,7n2a","0.970,0.965,0.963",62,62
A1960,OCNT-2317296,7n2a,1,0.968208611,7.05423737,-9.4853611,0.8239401233387097,0.12148184145583982,"7n2a,8eqz,4s0t","0.968,0.963,0.948",62,62
A1966,OCNT-2317222,8r82,1,0.942661583,6.46882105,-8.67541504,0.786663512016129,0.10113436829649837,"8r82,6hj2,7axe","0.943,0.915,0.909",62,62
A1975,OCNT-2317134,7ax9,1,0.945267379,7.58042479,-8.56777573,0.8389241349354839,0.07357273577971517,"7ax9,9fzi,1skx","0.945,0.939,0.926",62,62
A1986,OCNT-2316920,6nx1,1,0.9239797,6.81641245,10.3392334,0.7838422703870966,0.10147495933264332,"6nx1,8svt,5a86","0.924,0.921,0.909",62,62
A2003,OCNT-2316690,8svo,1,0.936438084,6.73394156,-8.20698929,0.7509287543387096,0.11879604628479708,"8svo,8r81,1nrl","0.936,0.918,0.912",62,62
A2013,OCNT-2316557,8cf9,1,0.959210157,7.80352974,-9.55589962,0.7532579399032259,0.10317535838469609,"8cf9,8svp,7rio","0.959,0.936,0.932",62,62
A2026,OCNT-2316441,6xp9,1,0.917977214,7.76559877,-9.34110165,0.6691550525967743,0.14962220561419942,"6xp9,3r8d,8r82","0.918,0.901,0.900",62,62
A2027,OCNT-2316438,6hj2,1,0.892764568,7.07106733,-8.64255333,0.720957460451613,0.08581778872174751,"6hj2,7axa,5x0r","0.893,0.872,0.846",62,62
A2029,OCNT-2316432,7axc,1,0.92552793,7.18278885,-8.8151474,0.7187074586129032,0.15726215107977884,"7axc,6bns,8cct","0.926,0.916,0.915",62,62
A2054,OCNT-2316194,5x0r,1,0.909502983,7.49268198,-8.50297546,0.7088671081290321,0.11425046966174114,"5x0r,3hvl,7axe","0.910,0.890,0.887",62,62
A2056,OCNT-2316176,7n2a,1,0.95771873,7.1398778,-8.48731995,0.8060321226935483,0.11611792726602131,"7n2a,8r81,5a86","0.958,0.944,0.941",62,62
A2058,OCNT-2316154,6dup,1,0.966198146,6.95551348,-8.36810398,0.7329312135161291,0.15416008705222708,"6dup,3hvl,3r8d","0.966,0.939,0.934",62,62
A2077,OCNT-2315950,6xp9,1,0.959342062,7.66896486,-8.619133,0.7743730208225805,0.1281722623835298,"6xp9,2qnv,5x0r","0.959,0.928,0.926",62,62
A2097,OCNT-2315653,9fzj,1,0.973890662,7.30678368,-9.74061108,0.7389263880000002,0.13510752191424702,"9fzj,3hvl,1nrl","0.974,0.966,0.956",62,62
A2101,OCNT-2315609,1skx,1,0.929797232,6.75529623,-8.3655405,0.6784377353064516,0.13655013720441156,"1skx,4x1g,9fzi","0.930,0.927,0.905",62,62
A2108,OCNT-2315483,1nrl,1,0.783035517,6.84718323,-8.51420879,0.5519654851612903,0.11095695159470462,"1nrl,8svo,1skx","0.783,0.755,0.753",62,62
A2109,OCNT-2315472,5a86,1,0.881507754,6.30268097,-7.03822279,0.654269998580645,0.10890881111772006,"5a86,7axh,7rio","0.882,0.840,0.822",62,62
A2122,OCNT-2315366,7axc,1,0.937800884,6.73844194,-8.82859707,0.7403666910322579,0.13012526855145978,"7axc,7axa,7axf","0.938,0.934,0.930",62,62
A2126,OCNT-2315327,4x1g,1,0.91378355,7.55570364,-10.8768415,0.7563458835,0.11427769908536749,"4x1g,8cf9,6tfi","0.914,0.913,0.904",62,62
A2140,OCNT-2315209,8svr,1,0.958324432,6.47318649,-10.6869211,0.8251683308387097,0.08874889379942041,"8svr,1skx,8svo","0.958,0.931,0.914",62,62
A2177,OCNT-2314792,7axh,1,0.952758431,6.9207139,-8.46882248,0.6705450473225807,0.15893280250468586,"7axh,5a86,4x1f","0.953,0.950,0.886",62,62
A2267,OCNT-2313609,7axf,1,0.935377419,6.79154444,-7.27897787,0.7104738884032258,0.1679340738741797,"7axf,6dup,9fzi","0.935,0.926,0.925",62,62
A2342,OCNT-2313188,4xhd,1,0.896867633,7.00254202,-10.5720768,0.695288948483871,0.13510442433438197,"4xhd,8svq,9fzj","0.897,0.892,0.885",62,62
A2412,OCNT-2312865,4x1g,1,0.946302891,7.23503256,-9.04016495,0.7420248278709677,0.13252690732453634,"4x1g,9fzj,1nrl","0.946,0.925,0.924",62,62
A2436,OCNT-2312754,8svq,1,0.952275455,7.30905533,-9.89181709,0.8249676727580645,0.08703176547135416,"8svq,8r82,7ax9","0.952,0.950,0.947",62,62
A2467,OCNT-2312559,7axj,1,0.821182013,7.38656425,-10.6277809,0.5146189591451613,0.13466210757308866,"7axj,8r82,6xp9","0.821,0.814,0.802",62,62
A2496,OCNT-2312239,7axa,1,0.889018536,6.32924271,-7.81885242,0.7047502845483872,0.13469525675426625,"7axa,7yfk,8svo","0.889,0.883,0.881",62,62
A2502,OCNT-2312208,6xp9,1,0.916940153,6.92725945,-7.1401515,0.6935038768548387,0.11662686932752962,"6xp9,1nrl,1skx","0.917,0.916,0.915",62,62
A2526,OCNT-2312002,4ny9,1,0.941856205,6.31112099,-9.7011261,0.7708678164354839,0.13739913911498566,"4ny9,8svo,8svq","0.942,0.927,0.923",62,62
A2535,OCNT-2311864,8svr,1,0.938140452,6.74224472,-8.65493393,0.7020154571290322,0.15543346955998774,"8svr,1skx,3r8d","0.938,0.928,0.918",62,62
A2544,OCNT-2311806,1nrl,1,0.909273267,6.67308092,-7.41612291,0.7171942288548389,0.14340759215776636,"1nrl,7ax9,8svq","0.909,0.903,0.883",62,62
A2547,OCNT-2311752,7axb,1,0.93834579,7.18111944,-8.8930254,0.7456392766290323,0.13535302315238631,"7axb,8svt,7n2a","0.938,0.921,0.914",62,62
A2557,OCNT-2311662,8svq,1,0.880344808,7.37273979,-11.2725153,0.654788669080645,0.14612446796434583,"8svq,4xhd,4ny9","0.880,0.880,0.864",62,62
A2558,OCNT-2311638,3r8d,1,0.926285923,6.5365181,-8.42958736,0.7679362576129034,0.12810943800293714,"3r8d,6bns,6xp9","0.926,0.926,0.923",62,62
A2563,OCNT-2311573,7axf,1,0.948652804,7.49535894,-8.49109936,0.7341450351612904,0.1341980317877175,"7axf,4s0t,7axh","0.949,0.927,0.919",62,62
A2574,OCNT-2311393,6bns,1,0.941381276,6.63371658,-8.12321377,0.772206528532258,0.12933542618690033,"6bns,8eqz,1skx","0.941,0.940,0.938",62,62
A2586,OCNT-2311249,8cct,1,0.96160084,7.56507492,-12.0845537,0.809347716516129,0.12880815022275027,"8cct,8svt,8svo","0.962,0.955,0.949",62,62
A2587,OCNT-2311187,7axf,1,0.890695751,6.55121613,-10.0869722,0.7057822760645162,0.12098547112858622,"7axf,6nx1,8svs","0.891,0.886,0.881",62,62
A2593,OCNT-2311117,3hvl,1,0.881032586,6.90058136,-8.2862463,0.7415962450322582,0.09288444629493876,"3hvl,8szv,8svt","0.881,0.881,0.880",62,62
A2633,OCNT-2310554,8svo,1,0.925695002,6.71904612,-9.28406239,0.7052566375161291,0.14400976071590021,"8svo,1skx,8svq","0.926,0.903,0.879",62,62
A2667,OCNT-2310167,8svp,1,0.952774048,7.41451883,-10.6092424,0.7308914478709677,0.15942697635114608,"8svp,8r81,1skx","0.953,0.950,0.914",62,62
A2693,OCNT-2309935,8r81,1,0.950513124,7.10083199,-10.4230804,0.7551018201451613,0.14227444693832755,"8r81,6hj2,4x1g","0.951,0.948,0.944",62,62
A2704,OCNT-2309868,8svo,1,0.928896248,6.00761414,-7.64073563,0.7053912382903225,0.15138592556705022,"8svo,4s0t,7axb","0.929,0.907,0.900",62,62
A2717,OCNT-2309628,8r81,1,0.94214642,6.90392542,-9.07126331,0.7668771695806452,0.11008748962336569,"8r81,7axa,3hvl","0.942,0.940,0.939",62,62
A2722,OCNT-2309591,8r81,1,0.953247607,7.4107089,-10.3331537,0.7100129733387097,0.11627538818456372,"8r81,1skx,7rio","0.953,0.940,0.909",62,62
A2747,OCNT-2309356,4x1g,1,0.9322294,6.71772766,-10.1543293,0.7596151598387096,0.0986854905455282,"4x1g,8e3n,7axf","0.932,0.903,0.899",62,62
A2749,OCNT-2309319,6bns,1,0.963034332,7.01909018,-9.14580727,0.8118207170806453,0.11735761371453671,"6bns,1skx,7axb","0.963,0.961,0.949",62,62
A2771,OCNT-2309093,7axc,1,0.960723639,6.78374624,-6.84856701,0.6940961575967742,0.13648414312676876,"7axc,6p2b,8svo","0.961,0.913,0.904",62,62
A2779,OCNT-2309025,7axc,1,0.931307197,7.7126503,-9.10184002,0.7638183865322582,0.09589309546653269,"7axc,8r81,8svt","0.931,0.919,0.916",62,62
A2791,OCNT-2308748,7axd,1,0.961796165,7.45009089,-9.69804764,0.7799241018709676,0.1117801680031797,"7axd,4x1g,4x1f","0.962,0.919,0.916",62,62
A2807,OCNT-2308554,6xp9,1,0.918875515,7.10030174,-9.30173206,0.6935825746129031,0.11058075318933597,"6xp9,7axc,4x1f","0.919,0.899,0.889",62,62
A2808,OCNT-2308531,7axa,1,0.954954505,6.98344231,-8.895154,0.8260137025806449,0.09503025801209385,"7axa,7rio,8r81","0.955,0.948,0.947",62,62
A2809,OCNT-2308475,7axb,1,0.942175448,6.95349836,-8.86590862,0.7097647862741934,0.14095121886184978,"7axb,8svp,7ax9","0.942,0.940,0.908",62,62
A3161,OCNT-1965945,7axa,1,0.904809952,4.9516058,-6.27905464,0.760827053016129,0.10444665859438747,"7axa,7axb,8r82","0.905,0.900,0.899",62,62
A3223,OCNT-1965882,7rio,1,0.916839063,6.16915321,-8.18624783,0.7668016860322582,0.11881505740464343,"7rio,8svr,6dup","0.917,0.900,0.896",62,62
T000,OADMET-0006617,6xp9,1,0.868561089,6.40988159,-9.56371975,0.5462321432741933,0.1453992510585906,"6xp9,7axf,1m13","0.869,0.803,0.781",62,62
T001,OADMET-0006616,4ny9,1,0.950604737,6.94032288,-7.48271465,0.757133119580645,0.1311250131978584,"4ny9,8svp,8svs","0.951,0.939,0.931",62,62
T002,OADMET-0006615,1skx,1,0.925958455,6.98872423,-9.70189285,0.6725480892419354,0.12179681278258186,"1skx,8e3n,8fpe","0.926,0.885,0.867",62,62
T003,OADMET-0006614,1skx,1,0.937441528,6.88415289,-7.83862591,0.7424940091774195,0.1345703992473049,"1skx,6xp9,8svt","0.937,0.922,0.920",62,62
T004,OADMET-0006613,1skx,1,0.958886743,7.21744967,-8.24805927,0.8284402845322579,0.09901714371223404,"1skx,4s0t,6nx1","0.959,0.951,0.948",62,62
T005,OADMET-0006612,8cct,1,0.953285635,6.46733236,-9.22461605,0.7510062562419355,0.12779707233780802,"8cct,7axc,7axf","0.953,0.924,0.916",62,62
T006,OADMET-0006611,7axe,1,0.886980891,7.01238203,-9.50477886,0.5515440519193548,0.17006416718790726,"7axe,1skx,6bns","0.887,0.831,0.826",62,62
T007,OADMET-0006610,8e3n,1,0.950267076,6.51408386,-8.74210739,0.7902637706290322,0.1186041108111441,"8e3n,4ny9,7n2a","0.950,0.914,0.912",62,62
T008,OADMET-0006609,8eqz,1,0.911650658,6.57341528,-4.97496748,0.7064341749354839,0.11246977388432124,"8eqz,8cf9,7ax9","0.912,0.896,0.886",62,62
T009,OADMET-0006608,8svt,1,0.923429132,7.54081869,-8.72278595,0.6817114829354839,0.15073683455450904,"8svt,8svx,8svp","0.923,0.906,0.904",62,62
T010,OADMET-0006607,4x1f,1,0.850919425,7.49003983,-6.58417511,0.6474294767903226,0.12667779474768143,"4x1f,4ny9,8cf9","0.851,0.830,0.828",62,62
T011,OADMET-0006606,7axa,1,0.891633034,6.20192719,-8.09929752,0.703899581564516,0.12068468959484678,"7axa,6bns,8cf9","0.892,0.867,0.865",62,62
T012,OADMET-0006605,1skx,1,0.913150907,6.09575033,-7.92191648,0.755653013564516,0.1262770197661112,"1skx,8r82,7axc","0.913,0.906,0.903",62,62
T013,OADMET-0006604,5a86,1,0.944167137,6.73754644,-11.4056416,0.6334969458709678,0.1237174150795743,"5a86,8svo,8svr","0.944,0.840,0.812",62,62
T014,OADMET-0006603,4xhd,1,0.96994549,6.61052942,-9.92745972,0.7491610583870968,0.15019121994476883,"4xhd,4ny9,7axd","0.970,0.952,0.937",62,62
T015,OADMET-0006602,7axh,1,0.932014227,6.1487937,-7.44941711,0.7083851108870968,0.12342465728100921,"7axh,7axf,8eqz","0.932,0.895,0.881",62,62
T016,OADMET-0006601,8eqz,1,0.970787704,6.65749216,-9.76530838,0.8135669928225805,0.11956963493564704,"8eqz,4s0t,6bns","0.971,0.955,0.953",62,62
T017,OADMET-0006600,7axa,1,0.91150403,6.24941635,-7.14122725,0.6961617647741934,0.1254275526821558,"7axa,8r82,3hvl","0.912,0.890,0.888",62,62
T018,OADMET-0006599,5x0r,1,0.916224122,6.24382639,-6.35265541,0.7678042860967742,0.07306521158110699,"5x0r,8svq,8svr","0.916,0.901,0.888",62,62
T019,OADMET-0006598,4x1g,1,0.831850886,7.50507212,-9.77259445,0.5978770989354838,0.15160053510019952,"4x1g,7axe,4x1f","0.832,0.811,0.799",62,62
T020,OADMET-0006597,9fzi,1,0.904028535,7.24546099,-10.5126104,0.7204785020645161,0.12179163489960393,"9fzi,8fpe,8svx","0.904,0.898,0.887",62,62
T021,OADMET-0006596,7axc,1,0.864591479,6.37828779,-8.18293667,0.6592482732258064,0.10999437651664043,"7axc,8e3n,7axf","0.865,0.859,0.832",62,62
T022,OADMET-0006595,8cf9,1,0.922868609,6.736866,-8.16134644,0.6462542477258064,0.1647012628340746,"8cf9,5a86,4s0t","0.923,0.884,0.880",62,62
T023,OADMET-0006594,8svq,1,0.97698009,6.91463709,-9.19926548,0.828837948451613,0.10868006733929754,"8svq,7axh,8svo","0.977,0.966,0.958",62,62
T024,OADMET-0006593,8svo,1,0.930745244,7.0283699,-9.80950546,0.6488985481612903,0.17617473854014734,"8svo,9fzj,8svs","0.931,0.914,0.910",62,62
T025,OADMET-0006592,8r81,1,0.906577945,7.17680216,-8.6878624,0.6939943985806452,0.1260589872667576,"8r81,1nrl,6bns","0.907,0.899,0.890",62,62
T026,OADMET-0006591,8svq,1,0.950506508,7.2822876,-10.4819746,0.7806915280806453,0.11121423577185967,"8svq,8svp,8r81","0.951,0.933,0.930",62,62
T027,OADMET-0006590,8svq,1,0.975905418,6.8542552,-9.21991634,0.815413475,0.11581326809503366,"8svq,8svo,8svt","0.976,0.960,0.953",62,62
T028,OADMET-0006589,5a86,1,0.940283895,6.94327688,-7.79743862,0.7900923938387097,0.09901708504590202,"5a86,7axf,7axh","0.940,0.912,0.907",62,62
T029,OADMET-0006588,8svo,1,0.872211039,6.93711472,-8.29480171,0.658689460516129,0.12138512087358753,"8svo,8cct,6hj2","0.872,0.855,0.842",62,62
T030,OADMET-0006587,6hj2,1,0.921281219,6.21348381,-8.56791782,0.795885386983871,0.0954331836655467,"6hj2,6xp9,7axc","0.921,0.917,0.912",62,62
T031,OADMET-0006586,8r81,1,0.913666844,8.45844841,-9.0897646,0.7038398793225807,0.0981084518525794,"8r81,1skx,8svt","0.914,0.889,0.868",62,62
T032,OADMET-0006585,8svp,1,0.9017542,6.6807785,-10.1245508,0.6130769300645161,0.13404094680764606,"8svp,8r81,7ax9","0.902,0.849,0.811",62,62
T033,OADMET-0006584,8svt,1,0.87831682,6.98861694,-9.71734619,0.6064827298225804,0.11794707114674868,"8svt,8svx,6dup","0.878,0.821,0.807",62,62
T034,OADMET-0006583,8svx,1,0.907529235,7.06635332,-8.68390846,0.7437025698064516,0.12244079347204638,"8svx,8svp,8r81","0.908,0.889,0.888",62,62
T035,OADMET-0006582,8svr,1,0.956803381,6.20219088,-8.24655724,0.6948100540161292,0.14325810157309654,"8svr,5a86,1skx","0.957,0.944,0.896",62,62
T036,OADMET-0006581,1nrl,1,0.881092429,7.07483339,-8.76086903,0.6622820222096775,0.1278550485624832,"1nrl,8fpe,7axc","0.881,0.868,0.846",62,62
T037,OADMET-0006580,1nrl,1,0.89182204,6.07568407,-7.66984177,0.7135482497741935,0.12613159452550354,"1nrl,7axa,7axf","0.892,0.888,0.869",62,62
T038,OADMET-0006579,8r81,1,0.916306674,7.03603172,-7.89277124,0.7229320228387096,0.14976745200347336,"8r81,7axh,8svx","0.916,0.914,0.913",62,62
T039,OADMET-0006578,8r82,1,0.956004739,5.77435923,-8.571311,0.764968797516129,0.11936443447304557,"8r82,7rio,4xhd","0.956,0.927,0.926",62,62
T040,OADMET-0006577,5a86,1,0.941403449,6.17415667,-8.3451786,0.726829113532258,0.14763791962037492,"5a86,8svq,4x1g","0.941,0.894,0.892",62,62
T041,OADMET-0006576,8cf9,1,0.93669492,7.24295235,-7.68137884,0.7608593668548387,0.12567876107597165,"8cf9,1skx,6dup","0.937,0.917,0.913",62,62
T042,OADMET-0006575,5a86,1,0.917192638,6.70867538,-9.63026333,0.7243100375806452,0.12648990611949912,"5a86,8eqz,2qnv","0.917,0.877,0.875",62,62
T043,OADMET-0006574,1skx,1,0.892199993,6.3769393,-7.45919371,0.6067992732258065,0.1493979487309183,"1skx,8svx,5a86","0.892,0.870,0.815",62,62
T044,OADMET-0006573,2qnv,1,0.830272257,6.38920593,-6.05523014,0.6602255192741934,0.10431836052946125,"2qnv,8e3n,8svt","0.830,0.826,0.824",62,62
T045,OADMET-0006572,7riv,1,0.909311056,5.90702772,-8.21909046,0.6852097380967743,0.13592982569518178,"7riv,8r82,7axa","0.909,0.895,0.869",62,62
T046,OADMET-0006571,4x1g,1,0.967543781,6.37914085,-9.02016735,0.7160520740483871,0.157004587393719,"4x1g,1skx,8e3n","0.968,0.934,0.919",62,62
T047,OADMET-0006570,7rio,1,0.919497371,6.54837942,-7.46123075,0.7060758173064515,0.14166780259401465,"7rio,4x1g,8svs","0.919,0.903,0.895",62,62
T048,OADMET-0006568,8svx,1,0.960901856,7.36354065,-8.61018372,0.7696653504193547,0.12623735324743962,"8svx,8svt,6p2b","0.961,0.946,0.925",62,62
T049,OADMET-0006567,7rio,1,0.908347309,6.36356544,-8.29049206,0.7050955007258064,0.14255647725394557,"7rio,8eqz,6tfi","0.908,0.905,0.902",62,62
T050,OADMET-0006566,4ny9,1,0.952341735,7.31138849,-8.34997749,0.7728775028225807,0.09888806582569916,"4ny9,4xhd,8svq","0.952,0.930,0.930",62,62
T051,OADMET-0006565,6xp9,1,0.883478701,6.81986475,-7.35423374,0.6762720168064517,0.1077824850070159,"6xp9,8svx,7axf","0.883,0.864,0.855",62,62
T052,OADMET-0006564,8r81,1,0.949414432,7.21704483,-8.01169205,0.8159434689838708,0.0873413847970776,"8r81,6xp9,6dup","0.949,0.948,0.943",62,62
T053,OADMET-0006562,4xhd,1,0.901050985,6.68516302,-7.20169497,0.7039296227903226,0.127209830966533,"4xhd,5a86,8svr","0.901,0.898,0.880",62,62
T054,OADMET-0006561,6tfi,1,0.945341349,6.50326538,-7.89437437,0.7115848299516129,0.1342103831300764,"6tfi,1skx,8r81","0.945,0.930,0.902",62,62
T055,OADMET-0006560,8r82,1,0.909702718,7.07352686,-7.77181482,0.630217480483871,0.13677965859929195,"8r82,8r81,8fpe","0.910,0.886,0.829",62,62
T056,OADMET-0006559,8r82,1,0.929619849,6.27544641,-6.68457651,0.753419081983871,0.11393119565206002,"8r82,1m13,9fzj","0.930,0.921,0.918",62,62
T057,OADMET-0006558,7axc,1,0.906690001,6.95061874,-7.6039629,0.678390164483871,0.12118297673413357,"7axc,6hj2,7axd","0.907,0.876,0.845",62,62
T058,OADMET-0006557,1skx,1,0.904012561,6.13796091,-7.31722927,0.6407594604354838,0.14375969871322683,"1skx,7axh,8svs","0.904,0.870,0.861",62,62
T059,OADMET-0006556,7axc,1,0.970824897,7.06854582,-8.02320385,0.7931996069193548,0.13458218145468887,"7axc,7axb,4s0t","0.971,0.970,0.968",62,62
T060,OADMET-0006555,8r82,1,0.944765806,6.00669146,-8.58190918,0.7757726307258065,0.11860945302533964,"8r82,6hj2,6dup","0.945,0.937,0.911",62,62
T061,OADMET-0006554,3r8d,1,0.949394405,6.52161741,-8.46066093,0.8021774185806451,0.11758140469899653,"3r8d,7axf,7axc","0.949,0.945,0.945",62,62
T062,OADMET-0006553,7axa,1,0.926229298,6.43001175,-10.547802,0.6326880695483871,0.16164901376613647,"7axa,6tfi,4x1f","0.926,0.912,0.908",62,62
T063,OADMET-0006552,7axe,1,0.936940372,7.03244066,-7.80096769,0.7489234141935486,0.10957021143156646,"7axe,7axc,1skx","0.937,0.929,0.922",62,62
T064,OADMET-0006551,8svq,1,0.938050091,6.72639894,-9.8990097,0.7407921966290323,0.15405912088342555,"8svq,5a86,8cct","0.938,0.936,0.915",62,62
T065,OADMET-0006550,6bns,1,0.944007814,7.07983828,-8.80481052,0.7370911793225806,0.15186783945117704,"6bns,6xp9,8svq","0.944,0.925,0.913",62,62
T066,OADMET-0006549,8svo,1,0.919593096,7.4611001,-10.0837374,0.6899573153870967,0.12538813733284748,"8svo,5x0r,8svt","0.920,0.913,0.909",62,62
T067,OADMET-0006548,7axe,1,0.946694374,5.95574236,-7.53279161,0.7705710713225808,0.12823987508433798,"7axe,8r81,8svp","0.947,0.936,0.927",62,62
T068,OADMET-0006547,6hj2,1,0.955143332,7.05622435,-8.36795807,0.7359152316129032,0.11030764826283451,"6hj2,8svr,6xp9","0.955,0.884,0.882",62,62
T069,OADMET-0006546,7axc,1,0.962915123,6.82423973,-9.0762167,0.7241158447580645,0.12770176987336615,"7axc,8svp,7axh","0.963,0.946,0.910",62,62
T070,OADMET-0006545,7axf,1,0.92836231,6.1968627,-7.93881464,0.7496653064193548,0.09286563654941057,"7axf,8r81,7axa","0.928,0.924,0.910",62,62
