Molecule Name,ligand_id,pEC50,pEC50_std.error (-log10(molarity)),CNNscore,CNNaffinity,minimizedAffinity,pdb_id
OADMET-0006515,T098,5.23,0.07185,0.936624289,6.11893654,-8.88488197,6dup
OADMET-0006514,T099,2.725,0.414,0.965294778,6.36180687,-9.20151424,8svq
OADMET-0006511,T102,3.655,0.3035,0.946561515,5.61211538,22.3964272,9fzi
OADMET-0006507,T106,4.465,0.271,0.919005454,6.8262825,-8.73338985,6tfi
OADMET-0006506,T107,2.2,0.4375,0.872938573,6.52349281,-8.48563957,8svq
OADMET-0006504,T109,5.15,0.0823,0.940777004,6.60879517,-8.43460464,7axe
OADMET-0006501,T112,4.27,0.258,0.958077252,7.18823242,-9.22396278,8r81
OADMET-0006499,T114,5.065,0.0683999999999999,0.954065084,6.66045809,-6.4693737,1skx
OADMET-0006494,T119,4.295,0.275,0.960855782,6.48786354,-8.05222988,7riv
OADMET-0006490,T123,3.245,0.3169999999999999,0.897163272,6.36391973,-8.73563194,8svq
OADMET-0006484,T129,5.51,0.1155,0.927137911,6.75817728,-8.7205143,8svr
OADMET-0006482,T131,6.035,0.07385,0.958155274,7.0575943,-8.82822609,8r81
OADMET-0006477,T135,5.35,0.0741,0.954846919,7.38758612,-8.74458981,8r82
OADMET-0006472,T139,1.755,0.5435000000000001,0.916898906,7.04812384,-10.3589897,9fzj
OADMET-0006469,T142,4.58,0.1435,0.852008045,6.67160797,-7.84224558,7axj
OADMET-0006468,T143,5.87,0.1195,0.898212433,6.97117424,-8.89029503,9fzi
OADMET-0006463,T148,5.54,0.0738,0.912618458,5.98813009,-8.38805294,8svs
OADMET-0006462,T149,5.550000000000001,0.0746,0.932571411,6.5167079,-9.27125835,7ax9
OADMET-0006461,T150,5.34,0.08315,0.954855442,6.95807266,-8.09740829,8r81
OADMET-0006460,T151,1.98,0.587,0.892365098,6.19727707,-7.9812789,8e3n
OADMET-0006458,T153,1.945,0.5495,0.936876178,6.38217592,-8.21733475,6dup
OADMET-0006455,T156,6.225,0.06125,0.937299907,6.53593206,-7.20827866,7rio
OADMET-0006453,T158,5.135,0.07705,0.965192914,6.51886225,-9.1952076,5x0r
OADMET-0006452,T159,4.72,0.2445,0.931855738,5.89705276,-8.28802967,3hvl
OADMET-0006451,T160,5.11,0.1101999999999999,0.976704061,7.67629671,-9.35380173,8eqz
OADMET-0006449,T162,4.465,0.1575,0.919247746,6.13506126,-8.13906574,7ax9
OADMET-0006445,T166,5.029999999999999,0.1245,0.931195557,6.88426924,-8.79001141,7axf
OADMET-0006443,T167,4.6850000000000005,0.13325,0.895688355,6.92888784,-8.3869276,7ax9
OADMET-0006442,T168,4.75,0.136,0.923483551,6.41985559,-8.17888641,8r81
OADMET-0006441,T169,4.734999999999999,0.10095,0.935276806,6.41782236,-8.76892281,4x1g
OADMET-0006440,T170,5.165,0.05705,0.976983488,7.37892342,-8.60365963,4ny9
OADMET-0006439,T171,1.745,0.546,0.947084427,6.53513479,-8.04975033,1skx
OADMET-0006435,T175,2.475,0.473,0.932084501,6.50060654,-8.87981129,8e3n
OADMET-0006433,T177,1.845,0.5680000000000001,0.932133734,7.07405615,-2.99777031,8eqz
OADMET-0006431,T179,4.005,0.262,0.958540261,6.56783104,-8.68186378,5a86
OADMET-0006430,T180,5.285,0.1075,0.937004983,5.65064192,-7.20327187,7ax9
OADMET-0006429,T181,5.37,0.0515,0.919275224,6.6660018,-7.94298077,6hj2
OADMET-0006427,T183,3.38,0.3385,0.97872287,7.55395842,-8.20444107,8r82
OADMET-0006424,T186,5.38,0.0563,0.931637645,7.36148691,-8.41648006,6xp9
OADMET-0006420,T190,6.140000000000001,0.06545,0.916870594,6.04159498,-7.74752378,7axc
OADMET-0006418,T192,3.84,0.294,0.973379374,5.70470572,-7.55937624,7ax9
OADMET-0006416,T194,6.015,0.2249999999999999,0.924122155,6.77761459,-6.77697515,7axd
OADMET-0006415,T195,5.505000000000001,0.0616499999999999,0.942155898,6.60438156,-7.51849174,7axh
OADMET-0006414,T196,3.74,0.1955,0.915234089,6.75882101,-9.58567619,4ny9
OADMET-0006413,T197,5.995,0.053,0.957635581,6.56496763,-8.6987648,8svp
OADMET-0006412,T198,5.735,0.10665,0.930982471,7.39154959,-7.35007,7axf
OADMET-0006410,T200,2.535,0.4365,0.889423549,7.37140894,-8.99953747,8szv
OADMET-0006409,T201,6.005,0.07905,0.849977911,7.09596872,-8.80322266,1nrl
OADMET-0006408,T202,5.805,0.07565,0.94652158,6.53246689,-8.82233429,8svp
OADMET-0006404,T206,5.465,0.06515,0.978607595,7.11038208,-9.09736443,7rio
OADMET-0006401,T207,4.74,0.1543,0.926413119,7.24647284,-8.42333984,8r82
OADMET-0006400,T208,4.835,0.10805,0.977557361,7.28295517,-9.81411552,8r81
OADMET-0006399,T209,5.17,0.07145,0.918023109,7.04887009,-8.79809856,7axb
OADMET-0006396,T212,5.779999999999999,0.0615,0.932233274,6.52032852,-8.19195843,4ny9
OADMET-0006395,T213,5.07,0.141,0.941701591,7.04814482,-8.45612907,8r81
OADMET-0006393,T215,5.3100000000000005,0.0923499999999999,0.940345168,6.90423393,-9.42385387,8e3n
OADMET-0006386,T221,6.26,0.0491,0.851918042,7.60684824,-8.47041798,8fpe
OADMET-0006385,T222,4.125,0.2215,0.934913635,6.49280357,-7.15317869,1nrl
OADMET-0006379,T228,2.97,0.247,0.951651394,7.41561508,-8.83065605,5a86
OADMET-0006378,T229,4.859999999999999,0.147,0.929671109,6.03583765,-6.94537687,7axc
OADMET-0006375,T231,4.970000000000001,0.0806,0.950218379,6.03739309,-7.52673769,7axc
OADMET-0006374,T232,5.6,0.188,0.946500361,6.60189295,-9.09410572,8r81
OADMET-0006372,T234,4.855,0.1535,0.795614481,6.01190329,-8.89055824,8cf9
OADMET-0006371,T235,4.895,0.105,0.971855164,6.74422693,-10.1383076,8r81
OADMET-0006369,T237,3.47,0.2375,0.893641293,5.96668863,-8.81815147,7axa
OADMET-0006368,T238,5.79,0.0972,0.950433314,6.64994669,-8.5250597,7axd
OADMET-0006366,T240,5.915,0.09345,0.949026704,6.96609306,-9.27854538,1skx
OADMET-0006363,T243,3.445,0.1975,0.93413192,4.80298281,-8.30614281,6tfi
OADMET-0006360,T246,5.475,0.06475,0.952862322,7.53577948,-10.3623409,8svp
OADMET-0006351,T255,5.58,0.0628,0.960996449,6.35462236,-8.53465271,7axd
OADMET-0006350,T256,4.87,0.271,0.931911588,6.46005106,-9.48482132,8r82
OADMET-0006347,T259,5.58,0.1245,0.914463997,6.87935448,-9.38697624,8r81
OADMET-0006344,T262,4.195,0.2425,0.921757638,5.59116411,0.0683354661,8eqz
OADMET-0006341,T265,4.65,0.276,0.867158592,6.00531006,-7.94105434,8r82
OADMET-0006340,T266,5.2,0.132,0.887690723,6.43227196,-8.25720501,2qnv
OADMET-0006336,T270,1.805,0.5545,0.893511593,6.53991842,-9.20980835,4s0t
OADMET-0006335,T271,3.665,0.262,0.89459461,5.54347849,-7.92350483,7axa
OADMET-0006334,T272,4.91,0.1885,0.93704927,7.41129637,-9.06281567,8r81
OADMET-0006331,T275,4.88,0.10585,0.958617508,7.21917725,-7.32042122,5x0r
OADMET-0006328,T278,4.869999999999999,0.11265,0.916727185,6.37142897,-9.04719257,7axc
OADMET-0006326,T280,5.24,0.0879,0.904463172,6.86507463,-8.04733181,6bns
OADMET-0006324,T282,4.215,0.2125,0.936125398,6.76270294,-7.48521757,4xhd
OADMET-0006318,T288,5.745,0.0601499999999999,0.915854514,6.97730875,-9.43866348,8r81
OADMET-0006313,T293,5.07,0.2744999999999999,0.959233522,5.9246521,-8.7169857,4ny9
OADMET-0006311,T295,4.725,0.1565,0.944862127,6.50277138,-7.78339052,8svq
OADMET-0006308,T298,4.795,0.08715,0.913046241,6.92311859,-8.68605423,8svp
OADMET-0006306,T300,5.24,0.08105,0.917588174,6.57888031,-8.39013767,8svs
OADMET-0006305,T301,3.565,0.283,0.933801353,6.98576927,-8.60340977,7axf
OADMET-0006304,T302,5.025,0.134,0.888681591,7.05077171,-8.48528576,8eqz
OADMET-0006303,T303,5.875,0.091,0.923627853,7.25156641,-10.2464972,8svp
OADMET-0006302,T304,5.495,0.11815,0.959617794,7.26251745,-9.78080463,7rio
OADMET-0006301,T305,5.58,0.06315,0.954934478,6.80598068,-7.58625889,6hj2
OADMET-0006299,T307,4.725,0.2475,0.949176073,6.63264656,-7.74982595,4xhd
OADMET-0006298,T308,4.26,0.198,0.928164244,6.24202776,-9.34285545,1skx
OADMET-0006296,T310,5.890000000000001,0.1065,0.933324337,7.429039,-10.3488178,8svo
OADMET-0006294,T312,5.185,0.07,0.864261389,7.15172815,-7.74069452,6xp9
OADMET-0006292,T314,4.34,0.2085,0.878939033,6.55431557,-8.57315922,8svo
OADMET-0006290,T316,3.2750000000000004,0.2475,0.933433771,6.41896868,-8.69287777,8r82
OADMET-0006288,T318,4.98,0.06615,0.970570743,7.24864435,-8.82433414,8r81
OADMET-0006287,T319,4.055,0.306,0.952071011,6.79204559,-8.7426424,8svs
OADMET-0006285,T321,3.57,0.253,0.886694908,6.00720072,-8.26345634,5x0r
OADMET-0006284,T322,6.08,0.0636999999999999,0.951342702,7.13484526,-9.42180538,3r8d
OADMET-0006283,T323,5.16,0.08615,0.848397553,6.76645327,-7.40672874,6bns
OADMET-0006280,T326,5.275,0.0754,0.918984234,6.47380066,-7.83241129,8svs
OADMET-0006277,T329,2.505,0.4275,0.922093034,6.49292183,-8.64882755,1nrl
OADMET-0006275,T331,3.415,0.245,0.931077957,6.829,-5.92981291,1skx
OADMET-0006274,T332,4.5600000000000005,0.1765,0.943620265,6.41625071,-7.34518814,7axd
OADMET-0006273,T333,5.55,0.0695,0.916423798,6.73015451,-7.88937521,7rio
OADMET-0006272,T334,4.824999999999999,0.1725,0.95135355,7.12281942,-7.80455923,4xhd
OADMET-0006271,T335,5.4,0.1535,0.955194354,6.40152597,-7.99178696,2qnv
OADMET-0006270,T336,2.765,0.2875,0.970056117,7.02806807,-9.32676888,4xhd
OADMET-0006268,T338,5.335,0.0595,0.87144959,6.86614466,-9.68193245,8r81
OADMET-0006266,T340,2.815,0.4419999999999999,0.972082257,6.91217422,-8.97050381,7axe
OADMET-0006264,T342,4.275,0.1901499999999999,0.912807167,6.60925674,-7.7412653,4x1g
OADMET-0006262,T344,4.96,0.1076999999999999,0.908633292,6.85607767,-9.03484821,1nrl
OADMET-0006260,T345,3.1100000000000003,0.3785,0.898844481,6.39068556,-7.55916214,5a86
OADMET-0006259,T346,5.59,0.05545,0.971521139,7.72550344,-8.55908489,8svp
OADMET-0006257,T348,3.58,0.305,0.835962474,5.48269892,-6.38251019,5x0r
OADMET-0006256,T349,3.735,0.237,0.920547664,6.03812218,-8.34132671,9fzj
OADMET-0006255,T350,5.775,0.1222,0.947783232,7.21478081,-7.87415838,7axa
OADMET-0006252,T352,4.69,0.1515,0.920783103,7.33240461,-9.28060818,5x0r
OADMET-0006251,T353,5.445,0.0711499999999999,0.863300323,6.59820557,-9.6862154,8svt
OADMET-0006249,T355,1.96,0.5895,0.947772264,6.80911016,-8.79393101,1skx
OADMET-0006246,T358,3.5700000000000003,0.282,0.921950042,6.67811918,-8.73182869,8svt
OADMET-0006245,T359,5.87,0.1475,0.869960546,7.15895462,-10.0440226,8svs
OADMET-0006244,T360,3.875,0.2895,0.950761318,6.79738474,-8.84348965,8svt
OADMET-0006237,T367,3.125,0.3235,0.89816153,6.42971039,-6.53264093,8e3n
OADMET-0006234,T370,5.365,0.05955,0.930814385,6.6708045,16.604023,6tfi
OADMET-0006233,T371,4.515000000000001,0.2285,0.962032914,6.27887917,-7.31962633,7riv
OADMET-0006232,T372,4.815,0.1041499999999999,0.929829895,6.64613867,-9.19809914,8cct
OADMET-0006230,T374,3.035,0.2525,0.903757393,5.8397541,-8.59188843,8r82
OADMET-0006228,T376,5.470000000000001,0.06625,0.971761584,6.52843094,-9.02320957,1m13
OADMET-0006227,T377,3.795,0.3265,0.94371444,5.78377008,-7.64949179,3hvl
OADMET-0006226,T378,4.955,0.177,0.904367447,7.08959055,-8.17765522,8svr
OADMET-0006225,T379,5.055,0.147,0.884692848,5.84824944,-4.95999622,6dup
OADMET-0006224,T380,2.6100000000000003,0.33685,0.934545457,7.43649817,-8.42282677,4xhd
OADMET-0006222,T381,3.665,0.195,0.867611051,6.04382181,-7.94684505,4ny9
OADMET-0006219,T383,4.949999999999999,0.1645,0.962224841,5.90719557,-8.77290058,1nrl
OADMET-0006218,T384,5.165,0.08305,0.933594644,7.02514648,-6.73100948,7axa
OADMET-0006213,T389,3.475,0.222,0.886470556,6.84349442,-9.24378777,8cct
OADMET-0006210,T392,4.8100000000000005,0.18125,0.959647954,6.17597914,-8.04088688,7axa
OADMET-0006209,T393,3.41,0.21,0.882083476,6.00009727,-7.45591021,4ny9
OADMET-0006208,T394,5.105,0.2249999999999999,0.903098226,6.72628641,-10.3542805,8svs
OADMET-0006206,T396,4.02,0.204,0.951528251,6.33694887,-6.91458225,4s0t
OADMET-0006204,T398,4.67,0.186,0.917701721,6.94342804,-8.79534721,6dup
OADMET-0006203,T399,4.895,0.155,0.873906493,7.23405695,-8.53075981,6xp9
OADMET-0006202,T400,6.0600000000000005,0.0655,0.912954748,6.48820162,-9.76275349,1skx
OADMET-0006201,T401,3.995,0.245,0.89861542,6.19630957,-7.6440134,8e3n
OADMET-0006200,T402,5.41,0.10325,0.953999758,6.76034403,-7.15203047,1skx
OADMET-0006196,T406,4.710000000000001,0.1978,0.933777928,7.10286188,-8.60264015,7rio
OADMET-0006192,T410,4.44,0.2535,0.970479012,7.8293643,-8.25559044,6hj2
OADMET-0006191,T411,4.21,0.235,0.946966529,5.92377996,-7.04477739,2qnv
OADMET-0006186,T416,4.84,0.13335,0.924998224,6.27709961,-7.45540953,1skx
OADMET-0006185,T417,5.92,0.054,0.970916629,6.99690437,-8.74702644,8svs
OADMET-0006183,T419,3.3200000000000003,0.256,0.96654284,7.04690599,-8.9140234,1skx
OADMET-0006182,T420,5.505,0.04455,0.912645221,7.41127634,-9.21060276,6dup
OADMET-0006180,T422,5.86,0.13,0.965469122,6.73646402,-7.57859898,1skx
OADMET-0006176,T426,4.185,0.24755,0.906839132,6.56480646,-8.36833096,8svo
OADMET-0006170,T432,4.74,0.183,0.920653701,6.56864738,-7.29785299,7axh
OADMET-0006161,T441,4.34,0.216,0.91540575,7.84058046,-10.657033,8r81
OADMET-0006160,T442,5.405,0.06415,0.926423371,6.69757318,-9.36768246,9fzj
OADMET-0006158,T443,3.9,0.1955,0.907366574,6.9730401,-8.37704659,5a86
OADMET-0006155,T446,5.25,0.07425,0.930552661,6.85561991,-8.76819134,7axe
OADMET-0006151,T449,5.145,0.09465,0.900041938,6.7713809,-7.98864794,6bns
OADMET-0006150,T450,4.68,0.0739,0.949037135,6.79383612,-8.41666412,8eqz
OADMET-0006149,T451,4.66,0.15655,0.916749656,6.89757681,-8.75818634,8eqz
OADMET-0006148,T452,5.164999999999999,0.07035,0.943784833,7.07323217,-8.80182648,8r81
OADMET-0006146,T454,6.345000000000001,0.06935,0.921890974,6.83584166,-9.70164394,8r81
OADMET-0006141,T458,5.390000000000001,0.11245,0.920891762,6.94068146,-8.82797337,7axf
OADMET-0006140,T459,5.13,0.1066999999999999,0.902726233,6.4600296,-8.29813004,7axc
OADMET-0006139,T460,4.49,0.13215,0.890946746,6.3736496,-9.18042088,8svq
OADMET-0006135,T464,5.4350000000000005,0.0843,0.899705768,6.4575839,-7.81267881,8r82
OADMET-0006134,T465,5.59,0.1325,0.907195926,6.91854715,4.90650988,8eqz
OADMET-0006132,T467,5.465,0.0693,0.941486239,7.06106138,-7.97389555,1skx
OADMET-0006131,T468,5.495,0.0684,0.956577718,6.80118322,-9.08031178,7rio
OADMET-0006129,T470,5.44,0.111,0.901530862,6.90381622,-9.23718548,8eqz
OADMET-0006128,T471,5.335,0.07485,0.905841053,6.18495321,-6.20466375,5x0r
OADMET-0006125,T474,5.470000000000001,0.05395,0.916619658,6.9740386,-8.24124622,1skx
OADMET-0006123,T476,2.56,0.369,0.947205186,6.2022438,-8.15201092,8svq
OADMET-0006121,T478,5.195,0.0999999999999999,0.924660802,7.11257553,-12.5034218,7axb
OADMET-0006120,T479,4.725,0.157,0.908878386,6.33398294,-8.43493462,8r82
OADMET-0006119,T480,3.955,0.276,0.902069986,5.74817133,-6.6518507,8svr
OADMET-0006117,T482,4.92,0.06795,0.895839274,6.04611969,-7.10624075,2qnv
OADMET-0006116,T483,4.485,0.2845,0.88534373,6.62704325,-7.83504581,4x1g
OADMET-0006115,T484,5.27,0.0508,0.869533241,6.03538084,-7.15689516,7axd
OADMET-0006113,T486,4.800000000000001,0.10035,0.947321117,6.97232866,-8.76497364,8svo
OADMET-0006111,T488,5.31,0.0771,0.962557971,7.39546728,-9.76510239,6hj2
OADMET-0006108,T491,2.56,0.3785,0.910125017,6.80657339,-8.61881733,8r82
OADMET-0006105,T494,5.905,0.06205,0.953965425,7.328619,-7.85202122,8r82
OADMET-0006103,T496,3.765,0.2995,0.870869517,7.30615854,-10.0765896,1nrl
OADMET-0006102,T497,4.955,0.13615,0.93264991,6.54470015,-6.98636055,4ny9
OADMET-0006100,T499,5.234999999999999,0.0781999999999999,0.929199636,6.94314814,-9.59403229,8svp
OADMET-0006096,T503,2.49,0.4315,0.935626686,6.76162958,-10.3563766,8svs
OADMET-0006094,T505,5.165,0.0711499999999999,0.965861797,6.87704992,-9.33597279,6hj2
OADMET-0006092,T507,5.795,0.06455,0.930331707,7.31579161,-7.80937624,6dup
OADMET-0006091,T508,4.94,0.1289,0.875560224,6.71089792,-9.93183804,8svx
OADMET-0004676,T510,5.085,0.07995,0.917998374,5.70822477,-8.69963932,9fzi
OADMET-0004675,T511,4.895,0.1505,0.879423976,6.28955317,-7.96895504,8r82
OADMET-0004674,T512,4.995,0.0949,0.866221189,5.88068533,-7.89782333,8svq
